kod,naziv
BIO,Biologija
DI,Duetna igra
ENG,Engleski jezik
ETN,Etnomuzikologija
ETNmuz,Etnomuzikologija
FIL,Filozofija
FR,Francuski jezik
GL,Gluma
IBI,Istorijsko balske igre
IMP,Improvizacije
INF,Računarstvo i informatika
IST,Istorija sa istorijom kulture i civilizacije
IXXv,Igre dvadesetog veka
KB,Klasičan balet
KI,Karakterna igra
MAT,Matematika
MP,Moderna podrška
NI,Narodna igra
OK,Osnove koreografije
PG,Primenjena gimnastika
PSI,Psihologija
RKB,Repertoar klasičnog baleta
RNI,Repertoar narodne igre
RSI,Repertoar savremene igre
SI,Savremena igra
SNI,Scensko narodne igre
SOC,Sociologija
SOL,Solfeđo
SRP,Srpski jezik i književnost
TP,Tradicionalno pevanje
TS,Tradicionalno sviranje
građ,Građansko vaspitanje
ver,Verska nastava
