просторија,ниво,предмет,одељења,облик часа,напомена
KM-2,обавезно,Карактерне игре,"IV1,III2,II1,II2,I1,I2",двочас,
KM-2,први,Карактерне игре,"IV2,III1",двочас,
KM-2,други,Сценско народне игре,,,
KM-4,обавезно,Класичан балет – главни предмет,"IV1,IV2,III1,III2",,
KM-4,први,Класичан балет – главни предмет,"II1,II2",,
KM-4,други,Класичан балет – главни предмет,"I1,I2",,
KM-5,обавезно,Савремена игра – главни предмет,"IV3,IV4,III3,III4",,
KM-5,први,Савремена игра – главни предмет,"I3,I4,II3,II4",,
KM-8,обавезно,Примењена гимнастика,,,
KM-уч1,обавезно,Рачунарство и информатика,,,
KM-уч2,обавезно,Солфеђо; Традиционално певање,,,
KM-библиотека,изузетно,Етнологија; Етномузикологија; Историја игре; Филозофија,IV5,,
KM-библиотека,забрањено,*,,,Подразумевана забрана; изузеци су четири наведена предмета за IV5.
KM-видеотека,обавезно,Глума и вокал,,,
KM-видеотека,забрањено,*,,,Подразумевана забрана; изузетак је Глума и вокал.
SG-1,обавезно,Народна игра – главни предмет,"IV5,III5,II5,I5",,
SG-1,први,Репертоар савремене игре; Класичан балет – главни предмет,"IV5,III5,II5,I5",,Наведена одељења важе за Репертоар савремене игре; за Класичан балет – главни предмет Excel не наводи одељења.
SG-музуч,обавезно,Солфеђо; Традиционално певање,,,
NP-1,обавезно,Репертоар класичног балета,"IV1,IV2",,
NP-1,први,Репертоар класичног балета,"III1,III2",,
NP-1,забрањено,*,,,Подразумевана забрана; изузетак је Репертоар класичног балета.
NP-2,обавезно,Репертоар класичног балета,"IV1,IV2",,
NP-2,први,Репертоар класичног балета,"III1,III2",,
NP-2,забрањено,*,,,Подразумевана забрана; изузетак је Репертоар класичног балета.
