ознака,локација,тип,приоритет,напомена
KM-1,Кнез Милетина 8,сала,,
KM-2,Кнез Милетина 8,сала,,
KM-3,Кнез Милетина 8,сала,,
KM-4,Кнез Милетина 8,сала,,
KM-5,Кнез Милетина 8,сала,,
KM-6,Кнез Милетина 8,сала,,
KM-8,Кнез Милетина 8,сала,3,обавезна за Примењену гимнастику; за друге предмете само у нужди
KM-уч1,Кнез Милетина 8,учионица,,специјална за Рачунарство и информатику
KM-уч2,Кнез Милетина 8,учионица,,
KM-уч3,Кнез Милетина 8,учионица,,
KM-уч7,Кнез Милетина 8,учионица,,
KM-библиотека,Кнез Милетина 8,учионица,3,најмања учионица; сви општи предмети само у нужди
KM-видеотека,Кнез Милетина 8,учионица,,искључиво за предмет Глума
SG-1,Спортска гимназија,сала,,
SG-2,Спортска гимназија,сала,,
SG-3,Спортска гимназија,сала,,
SG-музуч,Спортска гимназија,учионица,,музичка учионица; прошле године и општи предмети
NP-сала,Народно позориште,сала,,само 16–18ч и само Репертоар класичног балета
